se;entao;sup;conf;lift
A4_CancelarAcao=Alto & B2_IconesEsperados=Alto;D1_AcoesRapidas=Alto;0.407;0.854;1.266
B2_IconesEsperados=Alto & D4_AdaptaUso=Alto;D1_AcoesRapidas=Alto;0.407;0.854;1.266
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.302;0.839;1.265
B4_AcharAposUpd=Alto & D3_GerirPlaylists=Alto;D1_AcoesRapidas=Alto;0.337;0.853;1.265
A4_CancelarAcao=Alto & D1_AcoesRapidas=Alto;C3_SugestoesBusca=Alto;0.36;0.838;1.264
B2_IconesEsperados=Alto & D3_GerirPlaylists=Alto;C3_SugestoesBusca=Alto;0.36;0.838;1.264
D1_AcoesRapidas=Alto & D3_GerirPlaylists=Alto;C3_SugestoesBusca=Alto;0.36;0.838;1.264
A4_CancelarAcao=Alto & D3_GerirPlaylists=Alto;A5_RespeitaConfig=Alto;0.291;0.806;1.261
A4_CancelarAcao=Alto & D4_AdaptaUso=Alto;A5_RespeitaConfig=Alto;0.291;0.806;1.261
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;A5_RespeitaConfig=Alto;0.291;0.806;1.261
C1_SemAcidente=Alto & D4_AdaptaUso=Alto;A5_RespeitaConfig=Alto;0.291;0.806;1.261
E3_Estetica=Alto & E4_HomeRelevante=Alto;A5_RespeitaConfig=Alto;0.291;0.806;1.261
B1_SemelhApps=Alto & D4_AdaptaUso=Alto;D1_AcoesRapidas=Alto;0.395;0.85;1.26
B2_IconesEsperados=Alto & C1_SemAcidente=Alto;D1_AcoesRapidas=Alto;0.395;0.85;1.26
A4_CancelarAcao=Alto & E3_Estetica=Alto;A5_RespeitaConfig=Alto;0.337;0.806;1.26
B1_SemelhApps=Alto & C1_SemAcidente=Alto;A5_RespeitaConfig=Alto;0.337;0.806;1.26
E1_SemDistracao=Alto;B1_SemelhApps=Alto & B2_IconesEsperados=Alto;0.337;0.806;1.26
A5_RespeitaConfig=Alto & B3_LayoutConsist=Alto;D1_AcoesRapidas=Alto;0.326;0.848;1.258
B4_AcharAposUpd=Alto & D4_AdaptaUso=Alto;D1_AcoesRapidas=Alto;0.326;0.848;1.258
B1_SemelhApps=Alto & D1_AcoesRapidas=Alto;C3_SugestoesBusca=Alto;0.465;0.833;1.257
C1_SemAcidente=Alto & E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.233;0.833;1.257
D2_Recomendacoes=Alto & E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.233;0.833;1.257
E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.349;0.833;1.257
E1_SemDistracao=Alto;B1_SemelhApps=Alto & E2_InfoVisivel=Alto;0.349;0.833;1.257
C1_SemAcidente=Alto;D1_AcoesRapidas=Alto;0.453;0.848;1.257
B2_IconesEsperados=Alto & E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.337;0.906;1.257
E2_InfoVisivel=Alto & E3_Estetica=Alto;A5_RespeitaConfig=Alto;0.477;0.804;1.257
B3_LayoutConsist=Alto;B2_IconesEsperados=Alto;0.512;0.978;1.255
A4_CancelarAcao=Alto & B1_SemelhApps=Alto;D1_AcoesRapidas=Alto;0.384;0.846;1.255
B1_SemelhApps=Alto & B3_LayoutConsist=Alto;D1_AcoesRapidas=Alto;0.384;0.846;1.255
B2_IconesEsperados=Alto & D2_Recomendacoes=Alto;D1_AcoesRapidas=Alto;0.384;0.846;1.255
D3_GerirPlaylists=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.384;0.846;1.255
A4_CancelarAcao=Alto & D3_GerirPlaylists=Alto;B1_SemelhApps=Alto;0.326;0.903;1.253
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;B1_SemelhApps=Alto;0.326;0.903;1.253
B3_LayoutConsist=Alto & C1_SemAcidente=Alto;B1_SemelhApps=Alto;0.326;0.903;1.253
B3_LayoutConsist=Alto & E3_Estetica=Alto;B2_IconesEsperados=Alto;0.465;0.976;1.252
B3_LayoutConsist=Alto;D1_AcoesRapidas=Alto;0.442;0.844;1.252
B2_IconesEsperados=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.442;0.844;1.252
B2_IconesEsperados=Alto & D4_AdaptaUso=Alto;B1_SemelhApps=Alto;0.43;0.902;1.252
B2_IconesEsperados=Alto & D4_AdaptaUso=Alto;C3_SugestoesBusca=Alto;0.395;0.829;1.251
A4_CancelarAcao=Alto & B4_AcharAposUpd=Alto;D1_AcoesRapidas=Alto;0.314;0.844;1.251
B2_IconesEsperados=Alto & C4_AvisoPerda=Alto;D1_AcoesRapidas=Alto;0.314;0.844;1.251
B2_IconesEsperados=Alto & E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.314;0.844;1.251
C3_SugestoesBusca=Alto & E3_Estetica=Alto;A5_RespeitaConfig=Alto;0.372;0.8;1.251
A5_RespeitaConfig=Alto & D3_GerirPlaylists=Alto;C3_SugestoesBusca=Alto;0.337;0.829;1.25
B3_LayoutConsist=Alto & B4_AcharAposUpd=Alto;C3_SugestoesBusca=Alto;0.337;0.829;1.25
B3_LayoutConsist=Alto & D1_AcoesRapidas=Alto;B2_IconesEsperados=Alto;0.43;0.974;1.25
C3_SugestoesBusca=Alto & D4_AdaptaUso=Alto;D1_AcoesRapidas=Alto;0.372;0.842;1.249
A4_CancelarAcao=Alto & C1_SemAcidente=Alto;B1_SemelhApps=Alto;0.314;0.9;1.248
B3_LayoutConsist=Alto & D2_Recomendacoes=Alto;B1_SemelhApps=Alto;0.314;0.9;1.248
C3_SugestoesBusca=Alto & E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.314;0.9;1.248
C4_AvisoPerda=Alto & D2_Recomendacoes=Alto;B1_SemelhApps=Alto;0.209;0.9;1.248
B3_LayoutConsist=Alto & C3_SugestoesBusca=Alto;B2_IconesEsperados=Alto;0.407;0.972;1.248
B2_IconesEsperados=Alto & B3_LayoutConsist=Alto;D1_AcoesRapidas=Alto;0.43;0.841;1.247
B3_LayoutConsist=Alto & D3_GerirPlaylists=Alto;B2_IconesEsperados=Alto;0.384;0.971;1.246
B3_LayoutConsist=Alto & D4_AdaptaUso=Alto;B2_IconesEsperados=Alto;0.372;0.97;1.245
A4_CancelarAcao=Alto & D3_GerirPlaylists=Alto;D1_AcoesRapidas=Alto;0.302;0.839;1.244
A4_CancelarAcao=Alto & D4_AdaptaUso=Alto;D1_AcoesRapidas=Alto;0.302;0.839;1.244
B3_LayoutConsist=Alto & E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.302;0.897;1.244
B1_SemelhApps=Alto & E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.302;0.839;1.244
A4_CancelarAcao=Alto & B4_AcharAposUpd=Alto;B2_IconesEsperados=Alto;0.36;0.969;1.243
B2_IconesEsperados=Alto & D1_AcoesRapidas=Alto;B1_SemelhApps=Alto;0.5;0.896;1.243
B4_AcharAposUpd=Alto & D3_GerirPlaylists=Alto;C3_SugestoesBusca=Alto;0.326;0.824;1.243
E1_SemDistracao=Alto & E2_InfoVisivel=Alto;C3_SugestoesBusca=Alto;0.326;0.824;1.243
C3_SugestoesBusca=Alto & D3_GerirPlaylists=Alto;D1_AcoesRapidas=Alto;0.36;0.838;1.242
A5_RespeitaConfig=Alto & B1_SemelhApps=Alto;D1_AcoesRapidas=Alto;0.419;0.837;1.241
B3_LayoutConsist=Alto & E2_InfoVisivel=Alto;D1_AcoesRapidas=Alto;0.419;0.837;1.241
A5_RespeitaConfig=Alto & E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.267;0.821;1.239
A4_CancelarAcao=Alto & D2_Recomendacoes=Alto;B1_SemelhApps=Alto;0.291;0.893;1.238
B4_AcharAposUpd=Alto & D1_AcoesRapidas=Alto;C3_SugestoesBusca=Alto;0.372;0.821;1.238
C1_SemAcidente=Alto & D1_AcoesRapidas=Alto;C3_SugestoesBusca=Alto;0.372;0.821;1.238
D3_GerirPlaylists=Alto & E3_Estetica=Alto;C3_SugestoesBusca=Alto;0.372;0.821;1.238
D4_AdaptaUso=Alto & E3_Estetica=Alto;C3_SugestoesBusca=Alto;0.372;0.821;1.238
A4_CancelarAcao=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.314;0.964;1.238
A4_CancelarAcao=Alto & D1_AcoesRapidas=Alto;B1_SemelhApps=Alto;0.384;0.892;1.237
B2_IconesEsperados=Alto & D3_GerirPlaylists=Alto;B1_SemelhApps=Alto;0.384;0.892;1.237
D1_AcoesRapidas=Alto & D2_Recomendacoes=Alto;B1_SemelhApps=Alto;0.384;0.892;1.237
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.302;0.963;1.236
E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.349;0.833;1.236
E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.523;0.833;1.236
A4_CancelarAcao=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.349;0.833;1.236
A5_RespeitaConfig=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.407;0.833;1.236
A5_RespeitaConfig=Alto & B3_LayoutConsist=Alto;C3_SugestoesBusca=Alto;0.314;0.818;1.234
B4_AcharAposUpd=Alto & D4_AdaptaUso=Alto;C3_SugestoesBusca=Alto;0.314;0.818;1.234
C1_SemAcidente=Alto & D3_GerirPlaylists=Alto;C3_SugestoesBusca=Alto;0.314;0.818;1.234
B2_IconesEsperados=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.465;0.889;1.233
B4_AcharAposUpd=Alto & C3_SugestoesBusca=Alto;B1_SemelhApps=Alto;0.372;0.889;1.233
D2_Recomendacoes=Alto & E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.267;0.958;1.23
A5_RespeitaConfig=Alto & C3_SugestoesBusca=Alto;D1_AcoesRapidas=Alto;0.395;0.829;1.23
B3_LayoutConsist=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.395;0.829;1.23
B2_IconesEsperados=Alto & B3_LayoutConsist=Alto;B1_SemelhApps=Alto;0.453;0.886;1.229
E3_Estetica=Alto;B1_SemelhApps=Alto & E2_InfoVisivel=Alto;0.512;0.815;1.229
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.256;0.815;1.229
A4_CancelarAcao=Alto & A5_RespeitaConfig=Alto;B1_SemelhApps=Alto;0.36;0.886;1.229
A4_CancelarAcao=Alto & A5_RespeitaConfig=Alto;D1_AcoesRapidas=Alto;0.337;0.829;1.229
A5_RespeitaConfig=Alto & D3_GerirPlaylists=Alto;D1_AcoesRapidas=Alto;0.337;0.829;1.229
B3_LayoutConsist=Alto & E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.279;0.828;1.227
A4_CancelarAcao=Alto & B4_AcharAposUpd=Alto;C3_SugestoesBusca=Alto;0.302;0.812;1.226
A5_RespeitaConfig=Alto & D2_Recomendacoes=Alto;C3_SugestoesBusca=Alto;0.302;0.812;1.226
D1_AcoesRapidas=Alto & E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.302;0.812;1.226
D2_Recomendacoes=Alto & D4_AdaptaUso=Alto;C3_SugestoesBusca=Alto;0.302;0.812;1.226
E1_SemDistracao=Alto & E3_Estetica=Alto;C3_SugestoesBusca=Alto;0.302;0.812;1.226
A4_CancelarAcao=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.442;0.884;1.226
B3_LayoutConsist=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.442;0.884;1.226
B4_AcharAposUpd=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.488;0.955;1.225
B4_AcharAposUpd=Alto & D3_GerirPlaylists=Alto;B1_SemelhApps=Alto;0.349;0.882;1.224
E1_SemDistracao=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.349;0.882;1.224
D1_AcoesRapidas=Alto & D2_Recomendacoes=Alto;C3_SugestoesBusca=Alto;0.349;0.811;1.223
D3_GerirPlaylists=Alto & D4_AdaptaUso=Alto;C3_SugestoesBusca=Alto;0.349;0.811;1.223
B1_SemelhApps=Alto & B4_AcharAposUpd=Alto;D1_AcoesRapidas=Alto;0.384;0.825;1.223
A5_RespeitaConfig=Alto & D1_AcoesRapidas=Alto;C3_SugestoesBusca=Alto;0.395;0.81;1.221
E1_SemDistracao=Alto & E2_InfoVisivel=Alto;D1_AcoesRapidas=Alto;0.326;0.824;1.221
E2_InfoVisivel=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.488;0.824;1.221
A4_CancelarAcao=Alto & C4_AvisoPerda=Alto;B1_SemelhApps=Alto;0.256;0.88;1.221
B3_LayoutConsist=Alto & C4_AvisoPerda=Alto;B1_SemelhApps=Alto;0.256;0.88;1.221
A4_CancelarAcao=Alto;D1_AcoesRapidas=Alto;0.43;0.822;1.219
B1_SemelhApps=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.43;0.822;1.219
A5_RespeitaConfig=Alto & B3_LayoutConsist=Alto;B1_SemelhApps=Alto;0.337;0.879;1.219
B3_LayoutConsist=Alto & D4_AdaptaUso=Alto;B1_SemelhApps=Alto;0.337;0.879;1.219
B4_AcharAposUpd=Alto & D4_AdaptaUso=Alto;B1_SemelhApps=Alto;0.337;0.879;1.219
C3_SugestoesBusca=Alto & D2_Recomendacoes=Alto;B1_SemelhApps=Alto;0.337;0.879;1.219
A5_RespeitaConfig=Alto & C4_AvisoPerda=Alto;D1_AcoesRapidas=Alto;0.267;0.821;1.218
A5_RespeitaConfig=Alto & E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.267;0.821;1.218
D3_GerirPlaylists=Alto & E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.267;0.821;1.218
A4_CancelarAcao=Alto & B2_IconesEsperados=Alto;B1_SemelhApps=Alto;0.419;0.878;1.218
B3_LayoutConsist=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.419;0.878;1.218
E3_Estetica=Alto & E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.291;0.806;1.217
C4_AvisoPerda=Baixo & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.209;0.947;1.216
E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.337;0.806;1.215
A5_RespeitaConfig=Alto & D4_AdaptaUso=Alto;C3_SugestoesBusca=Alto;0.337;0.806;1.215
B1_SemelhApps=Alto & C1_SemAcidente=Alto;C3_SugestoesBusca=Alto;0.337;0.806;1.215
B1_SemelhApps=Alto & D2_Recomendacoes=Alto;C3_SugestoesBusca=Alto;0.337;0.806;1.215
A4_CancelarAcao=Alto & B2_IconesEsperados=Alto;C3_SugestoesBusca=Alto;0.384;0.805;1.214
A4_CancelarAcao=Alto & D1_AcoesRapidas=Alto;B2_IconesEsperados=Alto;0.407;0.946;1.214
C1_SemAcidente=Alto & E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.244;0.875;1.214
C3_SugestoesBusca=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.407;0.875;1.214
D3_GerirPlaylists=Alto;C3_SugestoesBusca=Alto;0.43;0.804;1.214
D3_GerirPlaylists=Alto;B1_SemelhApps=Alto & E2_InfoVisivel=Alto;0.43;0.804;1.214
A4_CancelarAcao=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.465;0.889;1.213
E1_SemDistracao=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.372;0.889;1.213
B1_SemelhApps=Alto & C1_SemAcidente=Alto;B2_IconesEsperados=Alto;0.395;0.944;1.212
B1_SemelhApps=Alto & D2_Recomendacoes=Alto;B2_IconesEsperados=Alto;0.395;0.944;1.212
A1_VoltarTela=Alto & B2_IconesEsperados=Alto;E2_InfoVisivel=Alto;0.244;1.0;1.211
B1_SemelhApps=Alto & C4_AvisoPerda=Alto;E2_InfoVisivel=Alto;0.337;1.0;1.211
B1_SemelhApps=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.465;1.0;1.211
B1_SemelhApps=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.326;1.0;1.211
B2_IconesEsperados=Alto & C2_ControlesPos=Alto;E2_InfoVisivel=Alto;0.233;1.0;1.211
B2_IconesEsperados=Alto & C5_TocaRapido=Alto;E2_InfoVisivel=Alto;0.256;1.0;1.211
B2_IconesEsperados=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.477;1.0;1.211
B2_IconesEsperados=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.372;1.0;1.211
B2_IconesEsperados=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.523;1.0;1.211
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.36;1.0;1.211
B3_LayoutConsist=Alto & C4_AvisoPerda=Alto;E2_InfoVisivel=Alto;0.291;1.0;1.211
B3_LayoutConsist=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.337;1.0;1.211
C3_SugestoesBusca=Alto & E2_InfoVisivel=Alto;D1_AcoesRapidas=Alto;0.465;0.816;1.21
B2_IconesEsperados=Alto & D2_Recomendacoes=Alto;B1_SemelhApps=Alto;0.395;0.872;1.209
E1_SemDistracao=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.372;0.941;1.208
A4_CancelarAcao=Alto & A5_RespeitaConfig=Alto;C3_SugestoesBusca=Alto;0.326;0.8;1.207
B1_SemelhApps=Alto & B4_AcharAposUpd=Alto;C3_SugestoesBusca=Alto;0.372;0.8;1.207
B1_SemelhApps=Alto & D4_AdaptaUso=Alto;C3_SugestoesBusca=Alto;0.372;0.8;1.207
D1_AcoesRapidas=Alto & D4_AdaptaUso=Alto;C3_SugestoesBusca=Alto;0.372;0.8;1.207
A4_CancelarAcao=Alto & E2_InfoVisivel=Alto;D1_AcoesRapidas=Alto;0.407;0.814;1.207
C3_SugestoesBusca=Alto & D1_AcoesRapidas=Alto;B1_SemelhApps=Alto;0.465;0.87;1.206
B4_AcharAposUpd=Alto & D4_AdaptaUso=Alto;B2_IconesEsperados=Alto;0.36;0.939;1.206
E2_InfoVisivel=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.36;0.939;1.206
B4_AcharAposUpd=Alto;D1_AcoesRapidas=Alto;0.453;0.812;1.205
E1_SemDistracao=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.302;0.812;1.205
B3_LayoutConsist=Alto & D1_AcoesRapidas=Alto;B1_SemelhApps=Alto;0.384;0.868;1.205
B4_AcharAposUpd=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.384;0.868;1.205
B2_IconesEsperados=Alto & D3_GerirPlaylists=Alto;D1_AcoesRapidas=Alto;0.349;0.811;1.202
D3_GerirPlaylists=Alto & D4_AdaptaUso=Alto;D1_AcoesRapidas=Alto;0.349;0.811;1.202
A4_CancelarAcao=Alto;B1_SemelhApps=Alto;0.453;0.867;1.202
B3_LayoutConsist=Alto;B1_SemelhApps=Alto;0.453;0.867;1.202
D1_AcoesRapidas=Alto & E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.302;0.867;1.202
D4_AdaptaUso=Alto & E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.302;0.867;1.202
B1_SemelhApps=Alto & E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.337;0.935;1.201
D1_AcoesRapidas=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.523;0.865;1.2
C3_SugestoesBusca=Alto & D3_GerirPlaylists=Alto;B1_SemelhApps=Alto;0.372;0.865;1.2
B2_IconesEsperados=Alto & C3_SugestoesBusca=Alto;D1_AcoesRapidas=Alto;0.442;0.809;1.199
D4_AdaptaUso=Alto & E2_InfoVisivel=Alto;D1_AcoesRapidas=Alto;0.442;0.809;1.199
A4_CancelarAcao=Alto & C1_SemAcidente=Alto;B2_IconesEsperados=Alto;0.326;0.933;1.198
C3_SugestoesBusca=Alto & E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.326;0.933;1.198
D5_TelasLimpas=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.221;0.864;1.198
E2_InfoVisivel=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.512;0.863;1.197
C3_SugestoesBusca=Alto;D1_AcoesRapidas=Alto;0.535;0.807;1.197
E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.36;0.861;1.194
A5_RespeitaConfig=Alto & D4_AdaptaUso=Alto;D1_AcoesRapidas=Alto;0.337;0.806;1.194
B3_LayoutConsist=Alto & C3_SugestoesBusca=Alto;B1_SemelhApps=Alto;0.36;0.861;1.194
B4_AcharAposUpd=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.488;0.875;1.194
A4_CancelarAcao=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.465;0.93;1.194
B2_IconesEsperados=Alto & B4_AcharAposUpd=Alto;B1_SemelhApps=Alto;0.43;0.86;1.194
D3_GerirPlaylists=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.43;0.86;1.194
D3_GerirPlaylists=Alto;D1_AcoesRapidas=Alto;0.43;0.804;1.193
A4_CancelarAcao=Alto & D2_Recomendacoes=Alto;B2_IconesEsperados=Alto;0.302;0.929;1.192
A4_CancelarAcao=Alto & E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.302;0.929;1.192
E1_SemDistracao=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.302;0.929;1.192
A5_RespeitaConfig=Alto & D1_AcoesRapidas=Alto;B1_SemelhApps=Alto;0.419;0.857;1.189
A5_RespeitaConfig=Alto & D3_GerirPlaylists=Alto;B1_SemelhApps=Alto;0.349;0.857;1.189
A5_RespeitaConfig=Alto & E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.279;0.857;1.189
B4_AcharAposUpd=Alto & D2_Recomendacoes=Alto;B1_SemelhApps=Alto;0.279;0.857;1.189
C1_SemAcidente=Alto & D2_Recomendacoes=Alto;B1_SemelhApps=Alto;0.279;0.857;1.189
C3_SugestoesBusca=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.488;0.857;1.189
E1_SemDistracao=Alto & E4_HomeRelevante=Alto;B1_SemelhApps=Alto;0.279;0.857;1.189
A5_RespeitaConfig=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.291;0.926;1.189
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.291;0.926;1.189
B1_SemelhApps=Alto & B4_AcharAposUpd=Alto;B2_IconesEsperados=Alto;0.43;0.925;1.187
B1_SemelhApps=Alto & D4_AdaptaUso=Alto;B2_IconesEsperados=Alto;0.43;0.925;1.187
D2_Recomendacoes=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.43;0.925;1.187
B2_IconesEsperados=Alto & D1_AcoesRapidas=Alto;E2_InfoVisivel=Alto;0.547;0.979;1.186
A4_CancelarAcao=Alto & B1_SemelhApps=Alto;B2_IconesEsperados=Alto;0.419;0.923;1.185
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.279;0.923;1.185
B1_SemelhApps=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.512;0.978;1.184
B2_IconesEsperados=Alto & B3_LayoutConsist=Alto;E2_InfoVisivel=Alto;0.5;0.977;1.184
B3_LayoutConsist=Alto & D3_GerirPlaylists=Alto;B1_SemelhApps=Alto;0.337;0.853;1.183
C1_SemAcidente=Alto & C3_SugestoesBusca=Alto;B1_SemelhApps=Alto;0.337;0.853;1.183
B2_IconesEsperados=Alto & B4_AcharAposUpd=Alto;E2_InfoVisivel=Alto;0.488;0.977;1.183
A5_RespeitaConfig=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.477;0.976;1.182
A4_CancelarAcao=Alto & B2_IconesEsperados=Alto;E2_InfoVisivel=Alto;0.465;0.976;1.182
B3_LayoutConsist=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.465;0.976;1.182
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;B1_SemelhApps=Alto;0.267;0.852;1.182
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;B1_SemelhApps=Alto;0.267;0.852;1.182
C4_AvisoPerda=Alto & D3_GerirPlaylists=Alto;B1_SemelhApps=Alto;0.267;0.852;1.182
A4_CancelarAcao=Alto & C4_AvisoPerda=Alto;B2_IconesEsperados=Alto;0.267;0.92;1.181
B4_AcharAposUpd=Alto & C4_AvisoPerda=Alto;B2_IconesEsperados=Alto;0.267;0.92;1.181
B2_IconesEsperados=Alto & C3_SugestoesBusca=Alto;B1_SemelhApps=Alto;0.465;0.851;1.181
D4_AdaptaUso=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.465;0.851;1.181
A4_CancelarAcao=Alto & B1_SemelhApps=Alto;E2_InfoVisivel=Alto;0.442;0.974;1.18
B1_SemelhApps=Alto & B3_LayoutConsist=Alto;E2_InfoVisivel=Alto;0.442;0.974;1.18
B1_SemelhApps=Alto & D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.43;0.974;1.179
C1_SemAcidente=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.43;0.974;1.179
B2_IconesEsperados=Alto & C1_SemAcidente=Alto;B1_SemelhApps=Alto;0.395;0.85;1.179
D1_AcoesRapidas=Alto & D4_AdaptaUso=Alto;B1_SemelhApps=Alto;0.395;0.85;1.179
D2_Recomendacoes=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.395;0.85;1.179
C3_SugestoesBusca=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.523;0.918;1.179
B2_IconesEsperados=Alto & D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.419;0.973;1.179
A4_CancelarAcao=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.407;0.972;1.178
B1_SemelhApps=Alto & C1_SemAcidente=Alto;E2_InfoVisivel=Alto;0.407;0.972;1.178
B4_AcharAposUpd=Alto & C1_SemAcidente=Alto;B1_SemelhApps=Alto;0.326;0.848;1.177
C1_SemAcidente=Alto & D3_GerirPlaylists=Alto;B1_SemelhApps=Alto;0.326;0.848;1.177
E2_InfoVisivel=Alto & E4_HomeRelevante=Alto;B1_SemelhApps=Alto;0.326;0.848;1.177
B3_LayoutConsist=Alto & B4_AcharAposUpd=Alto;E2_InfoVisivel=Alto;0.395;0.971;1.177
D2_Recomendacoes=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.256;0.917;1.177
A4_CancelarAcao=Alto & C3_SugestoesBusca=Alto;B2_IconesEsperados=Alto;0.384;0.917;1.177
A4_CancelarAcao=Alto & E3_Estetica=Alto;B2_IconesEsperados=Alto;0.384;0.917;1.177
E4_HomeRelevante=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.36;0.861;1.175
D2_Recomendacoes=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.43;0.86;1.175
A5_RespeitaConfig=Alto & B3_LayoutConsist=Alto;E2_InfoVisivel=Alto;0.372;0.97;1.175
B3_LayoutConsist=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.372;0.97;1.175
B4_AcharAposUpd=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.372;0.97;1.175
