se;entao;sup;conf;lift
B3_LayoutConsist=Alto & D4_AdaptaUso=Alto;D3_GerirPlaylists=Alto;0.326;0.848;1.586
C1_SemAcidente=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.267;0.92;1.582
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;D3_GerirPlaylists=Alto;0.256;0.846;1.582
D4_AdaptaUso=Alto & E3_Estetica=Alto;D3_GerirPlaylists=Alto;0.384;0.846;1.582
B3_LayoutConsist=Alto & E1_SemDistracao=Alto;A4_CancelarAcao=Alto;0.279;0.828;1.582
C3_SugestoesBusca=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.279;0.828;1.582
D3_GerirPlaylists=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.279;0.828;1.582
C3_SugestoesBusca=Alto & E4_HomeRelevante=Alto;B3_LayoutConsist=Alto;0.279;0.828;1.582
D3_GerirPlaylists=Alto & E4_HomeRelevante=Alto;B3_LayoutConsist=Alto;0.279;0.828;1.582
E1_SemDistracao=Alto & E3_Estetica=Alto;D3_GerirPlaylists=Alto;0.314;0.844;1.577
C1_SemAcidente=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.256;0.917;1.577
D2_Recomendacoes=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.256;0.917;1.577
E1_SemDistracao=Alto;B2_IconesEsperados=Alto & B3_LayoutConsist=Alto;0.337;0.806;1.574
B4_AcharAposUpd=Alto & D3_GerirPlaylists=Alto;B3_LayoutConsist=Alto;0.326;0.824;1.574
B3_LayoutConsist=Alto & C4_AvisoPerda=Alto;D3_GerirPlaylists=Alto;0.244;0.84;1.57
B4_AcharAposUpd=Alto & C4_AvisoPerda=Alto;D3_GerirPlaylists=Alto;0.244;0.84;1.57
C4_AvisoPerda=Alto & D4_AdaptaUso=Alto;D3_GerirPlaylists=Alto;0.244;0.84;1.57
D3_GerirPlaylists=Alto & E1_SemDistracao=Alto;A4_CancelarAcao=Alto;0.267;0.821;1.57
B1_SemelhApps=Alto & E4_HomeRelevante=Alto;B3_LayoutConsist=Alto;0.267;0.821;1.57
B4_AcharAposUpd=Alto & D2_Recomendacoes=Alto;B3_LayoutConsist=Alto;0.267;0.821;1.57
E1_SemDistracao=Alto & E4_HomeRelevante=Alto;B3_LayoutConsist=Alto;0.267;0.821;1.57
D4_AdaptaUso=Alto & E3_Estetica=Alto;B3_LayoutConsist=Alto;0.372;0.821;1.568
B3_LayoutConsist=Alto & C1_SemAcidente=Alto;D3_GerirPlaylists=Alto;0.302;0.839;1.568
D4_AdaptaUso=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.302;0.839;1.568
A4_CancelarAcao=Alto & B3_LayoutConsist=Alto;B4_AcharAposUpd=Alto;0.326;0.875;1.568
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.209;0.818;1.564
E2_InfoVisivel=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.314;0.818;1.564
B4_AcharAposUpd=Alto & C1_SemAcidente=Alto;B3_LayoutConsist=Alto;0.314;0.818;1.564
B4_AcharAposUpd=Alto & D4_AdaptaUso=Alto;B3_LayoutConsist=Alto;0.314;0.818;1.564
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.233;0.909;1.564
B3_LayoutConsist=Alto & C1_SemAcidente=Alto;B4_AcharAposUpd=Alto;0.314;0.871;1.56
D1_AcoesRapidas=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.337;0.906;1.559
B3_LayoutConsist=Alto & C3_SugestoesBusca=Alto;D3_GerirPlaylists=Alto;0.349;0.833;1.558
A5_RespeitaConfig=Alto & E4_HomeRelevante=Alto;B3_LayoutConsist=Alto;0.256;0.815;1.557
B2_IconesEsperados=Alto & B4_AcharAposUpd=Alto;B3_LayoutConsist=Alto;0.407;0.814;1.556
E3_Estetica=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.326;0.903;1.554
B2_IconesEsperados=Alto & E1_SemDistracao=Alto;A4_CancelarAcao=Alto;0.302;0.812;1.553
D1_AcoesRapidas=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.302;0.812;1.553
E1_SemDistracao=Alto & E3_Estetica=Alto;A4_CancelarAcao=Alto;0.302;0.812;1.553
C3_SugestoesBusca=Alto & D3_GerirPlaylists=Alto;B3_LayoutConsist=Alto;0.349;0.811;1.55
D1_AcoesRapidas=Alto & D3_GerirPlaylists=Alto;B3_LayoutConsist=Alto;0.349;0.811;1.55
C3_SugestoesBusca=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.314;0.9;1.548
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;B4_AcharAposUpd=Alto;0.221;0.864;1.547
B3_LayoutConsist=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.372;0.97;1.544
D3_GerirPlaylists=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.302;0.897;1.542
C1_SemAcidente=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.349;0.968;1.541
D4_AdaptaUso=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.291;0.806;1.541
D4_AdaptaUso=Alto & E4_HomeRelevante=Alto;B3_LayoutConsist=Alto;0.291;0.806;1.541
E1_SemDistracao=Alto;B3_LayoutConsist=Alto;0.337;0.806;1.54
A4_CancelarAcao=Alto & E3_Estetica=Alto;B3_LayoutConsist=Alto;0.337;0.806;1.54
E1_SemDistracao=Alto;B2_IconesEsperados=Alto & E3_Estetica=Alto;0.337;0.806;1.54
B4_AcharAposUpd=Alto & C3_SugestoesBusca=Alto;B3_LayoutConsist=Alto;0.337;0.806;1.54
E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto & E3_Estetica=Alto;0.337;0.806;1.54
B3_LayoutConsist=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.326;0.966;1.538
A4_CancelarAcao=Alto & E4_HomeRelevante=Alto;B4_AcharAposUpd=Alto;0.279;0.857;1.536
A4_CancelarAcao=Alto & E1_SemDistracao=Alto;D3_GerirPlaylists=Alto;0.267;0.821;1.536
A4_CancelarAcao=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.291;0.893;1.536
B1_SemelhApps=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.267;0.821;1.536
B1_SemelhApps=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.291;0.893;1.536
C1_SemAcidente=Alto & D2_Recomendacoes=Alto;D3_GerirPlaylists=Alto;0.267;0.821;1.536
D3_GerirPlaylists=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.314;0.964;1.536
E1_SemDistracao=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.267;0.821;1.536
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.302;0.963;1.534
B4_AcharAposUpd=Alto & C1_SemAcidente=Alto;D3_GerirPlaylists=Alto;0.314;0.818;1.53
B4_AcharAposUpd=Alto & D4_AdaptaUso=Alto;D3_GerirPlaylists=Alto;0.314;0.818;1.53
E2_InfoVisivel=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.314;0.818;1.53
B3_LayoutConsist=Alto & B4_AcharAposUpd=Alto;A4_CancelarAcao=Alto;0.326;0.8;1.529
B1_SemelhApps=Alto & B4_AcharAposUpd=Alto;B3_LayoutConsist=Alto;0.372;0.8;1.529
C3_SugestoesBusca=Alto & E3_Estetica=Alto;B3_LayoutConsist=Alto;0.372;0.8;1.529
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.279;0.889;1.529
C4_AvisoPerda=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.279;0.96;1.529
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.267;0.885;1.522
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.244;0.955;1.52
A4_CancelarAcao=Alto & B3_LayoutConsist=Alto;D3_GerirPlaylists=Alto;0.302;0.812;1.519
D1_AcoesRapidas=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.302;0.812;1.519
D2_Recomendacoes=Alto & D4_AdaptaUso=Alto;D3_GerirPlaylists=Alto;0.302;0.812;1.519
D2_Recomendacoes=Alto & E3_Estetica=Alto;D3_GerirPlaylists=Alto;0.302;0.812;1.519
E2_InfoVisivel=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.337;0.879;1.512
